"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2019","12,084.30","12,140.14","12,144.89","12,049.04","-","-0.70%"
"Jun 13, 2019","12,169.05","12,095.21","12,201.78","12,079.60","69.17M","0.44%"
"Jun 12, 2019","12,115.68","12,093.98","12,132.28","12,068.11","69.96M","-0.33%"
"Jun 11, 2019","12,155.81","12,133.60","12,227.40","12,117.34","95.14M","0.92%"
"Jun 07, 2019","12,045.38","12,003.92","12,096.61","11,987.17","80.55M","0.77%"
"Jun 06, 2019","11,953.14","11,987.92","12,076.95","11,899.82","89.56M","-0.23%"
"Jun 05, 2019","11,980.81","11,981.18","12,057.73","11,928.87","81.81M","0.08%"
"Jun 04, 2019","11,971.17","11,716.55","11,987.89","11,713.87","107.67M","1.51%"
"Jun 03, 2019","11,792.81","11,661.12","11,793.63","11,620.64","104.35M","0.56%"
"May 31, 2019","11,726.84","11,742.21","11,755.12","11,662.07","98.49M","-1.47%"
"May 30, 2019","11,902.08","11,885.07","11,924.66","11,858.29","47.89M","0.54%"
"May 29, 2019","11,837.81","11,906.02","11,927.64","11,828.75","90.85M","-1.57%"
"May 28, 2019","12,027.05","12,100.39","12,113.31","11,992.41","121.30M","-0.37%"
"May 27, 2019","12,071.18","12,077.88","12,124.55","12,050.49","43.77M","0.50%"
"May 24, 2019","12,011.04","12,027.31","12,082.05","11,990.79","82.36M","0.49%"
"May 23, 2019","11,952.41","12,064.29","12,082.75","11,926.34","118.10M","-1.78%"
"May 22, 2019","12,168.74","12,141.46","12,211.03","12,055.50","87.12M","0.21%"
"May 21, 2019","12,143.47","12,111.80","12,178.25","12,066.90","90.83M","0.85%"
"May 20, 2019","12,041.29","12,226.85","12,246.50","11,993.91","105.41M","-1.61%"
"May 17, 2019","12,238.94","12,252.68","12,270.89","12,150.33","104.47M","-0.58%"
"May 16, 2019","12,310.37","12,077.36","12,310.37","12,030.30","109.00M","1.74%"
"May 15, 2019","12,099.57","12,018.45","12,099.57","11,862.21","125.84M","0.90%"
"May 14, 2019","11,991.62","11,908.77","11,991.83","11,897.93","106.20M","0.97%"
"May 13, 2019","11,876.65","12,044.10","12,052.93","11,844.47","110.57M","-1.52%"
"May 10, 2019","12,059.83","12,105.28","12,140.61","12,009.75","142.10M","0.72%"
"May 09, 2019","11,973.92","12,098.02","12,125.96","11,957.31","109.43M","-1.69%"
"May 08, 2019","12,179.93","12,110.87","12,208.48","12,063.74","101.04M","0.72%"
"May 07, 2019","12,092.74","12,298.71","12,319.05","12,056.80","109.81M","-1.58%"
"May 06, 2019","12,286.88","12,171.90","12,298.66","12,135.42","88.43M","-1.01%"
"May 03, 2019","12,412.75","12,345.32","12,435.67","12,344.23","79.12M","0.55%"
"May 02, 2019","12,345.42","12,349.10","12,402.87","12,303.96","96.36M","0.01%"
"Apr 30, 2019","12,344.08","12,313.97","12,345.31","12,281.72","82.44M","0.13%"
"Apr 29, 2019","12,328.02","12,308.98","12,376.06","12,266.34","70.68M","0.10%"
"Apr 26, 2019","12,315.18","12,284.46","12,323.64","12,259.76","90.05M","0.27%"
"Apr 25, 2019","12,282.60","12,304.53","12,321.79","12,236.14","96.28M","-0.25%"
"Apr 24, 2019","12,313.16","12,232.99","12,349.83","12,223.98","106.44M","0.63%"
"Apr 23, 2019","12,235.51","12,224.32","12,251.81","12,182.98","77.35M","0.11%"
"Apr 18, 2019","12,222.39","12,138.14","12,243.63","12,100.00","108.85M","0.57%"
"Apr 17, 2019","12,153.07","12,100.44","12,195.00","12,086.89","102.28M","0.43%"
"Apr 16, 2019","12,101.32","12,026.74","12,116.25","12,025.66","83.38M","0.67%"
"Apr 15, 2019","12,020.28","12,011.11","12,029.98","11,983.33","65.12M","0.17%"
"Apr 12, 2019","11,999.93","11,912.58","12,031.15","11,889.99","92.89M","0.54%"
"Apr 11, 2019","11,935.20","11,914.51","11,963.43","11,846.60","78.55M","0.25%"
"Apr 10, 2019","11,905.91","11,864.46","11,937.11","11,863.80","68.62M","0.47%"
"Apr 09, 2019","11,850.57","11,927.01","11,988.53","11,850.57","67.93M","-0.94%"
"Apr 08, 2019","11,963.40","11,979.73","11,989.59","11,948.26","65.65M","-0.39%"
"Apr 05, 2019","12,009.75","11,993.22","12,024.23","11,967.70","74.96M","0.18%"
